M2,f0,z,DM_over_rd,DH_over_rd
3.0,0.002,1.3470312500000001,28.466635369662068,13.868121234338311
3.0,0.002,1.3834375,28.966561020219743,13.595605491576787
3.0,0.002,1.41984375,29.456705796021954,13.330802792836568
3.0,0.002,1.45625,29.937346128059758,13.073472958596456
3.0,0.002,1.49265625,30.408749818017874,12.823382112063786
3.0,0.002,1.5290625,30.87117626921708,12.580302760682233
3.0,0.002,1.56546875,31.324876719850266,12.344013840625978
3.0,0.002,1.6018750000000002,31.770094477246843,12.114300728799453
3.0,0.002,1.6382812500000001,32.2070651520575,11.89095522646449
3.0,0.002,1.6746875,32.636016891394746,11.673775518242335
3.0,0.002,1.71109375,33.05717061009429,11.462566109887138
3.0,0.002,1.7475,33.47073905204009,11.257073619324393
3.0,0.002,1.78390625,33.876928019343644,11.057170078038009
3.0,0.002,1.8203125,34.275937835419995,10.862682478946374
3.0,0.002,1.85671875,34.667961210808464,10.673365611064119
3.0,0.002,1.893125,35.0531844557975,10.48911308361248
3.0,0.002,1.9295312500000001,35.43178845107445,10.309733008855305
3.0,0.002,1.9659375000000001,35.80394760204306,10.13506155079357
3.0,0.002,2.00234375,36.16983079905656,9.964959572694744
3.0,0.002,2.0387500000000003,36.52960141596959,9.799263159007614
3.0,0.002,2.07515625,36.88341727774488,9.637831393455313
3.0,0.002,2.1115625000000002,37.231431536098114,9.480548464576211
3.0,0.002,2.14796875,37.57379179991358,9.327225684943205
3.0,0.002,2.184375,37.910640961499105,9.177792633918195
3.0,0.002,2.22078125,38.24211797983635,9.032103652420085
3.0,0.002,2.2571875,38.568356485641985,8.890011687975187
3.0,0.002,2.29359375,38.889486021738286,8.751439222036327
3.0,0.002,2.33,39.20563261307371,8.616270516562045
3.0,0.005,0.0,0.0,30.31532061741046
3.0,0.005,0.03640625,1.0939910255612464,29.783757181662303
3.0,0.005,0.0728125,2.1684770503514716,29.2438012617492
3.0,0.005,0.10921875,3.223190528893316,28.697540048704038
3.0,0.005,0.145625,4.257936632221578,28.146881078342144
3.0,0.005,0.18203125,5.272593036349545,27.59389992096251
3.0,0.005,0.2184375,6.267104618572423,27.0402127505089
3.0,0.005,0.25484375000000004,7.241478318440635,26.48761282165029
3.0,0.005,0.29125,8.19578147977269,25.937625225775943
3.0,0.005,0.32765625,9.130131980293067,25.391500983068813
3.0,0.005,0.3640625,10.044695990955315,24.850642091938816
3.0,0.005,0.40046875000000004,10.93968315606202,24.316034789459575
3.0,0.005,0.436875,11.815340148888499,23.788727048218238
3.0,0.005,0.47328125,12.671946853743096,23.26949536439484
3.0,0.005,0.5096875000000001,13.509809764537641,22.759025056936224
3.0,0.005,0.54609375,14.329258694740998,22.257911881274072
3.0,0.005,0.5825,15.130643566454905,21.766664762236765
